section	nodeId	change	title	why	implFiles
towers	9391-18698	REMOVED-WITH-WORK	hf_20260802_165842_f42a9cf4-60cf-420b-8bce-8e64f2274a83 1	Frame gone from Figma with NO same-title replacement, but the catalog recorded implementing code -- check the code is not now orphaned before removing the row	modules/skai-gaming/src/components/play/games/crash/TowerStackerPro.tsx (+ crash/tower/); page shell modules/skai-gaming/src/pages/play/TowersPage.tsx (72 lines, RoutedGamePage wrapper); rail points-game tower_start/tower_pick/tower_climb/tower_cashout
towers	9079-2977	REMOVED-WITH-WORK	Desktop Full Game	Frame gone from Figma with NO same-title replacement, but the catalog recorded implementing code -- check the code is not now orphaned before removing the row	modules/skai-gaming/src/components/play/games/crash/TowerStackerPro.tsx (+ crash/tower/); page shell modules/skai-gaming/src/pages/play/TowersPage.tsx (72 lines, RoutedGamePage wrapper); rail points-game tower_start/tower_pick/tower_climb/tower_cashout
towers	9391-19091	REMOVED-WITH-WORK	Desktop Full Game	Frame gone from Figma with NO same-title replacement, but the catalog recorded implementing code -- check the code is not now orphaned before removing the row	modules/skai-gaming/src/components/play/games/crash/TowerStackerPro.tsx (+ crash/tower/); page shell modules/skai-gaming/src/pages/play/TowersPage.tsx (72 lines, RoutedGamePage wrapper); rail points-game tower_start/tower_pick/tower_climb/tower_cashout
towers	10120-9847	REMOVED-WITH-WORK	Screenshot 2026-08-18 at 11.57.32 PM 1	Frame gone from Figma with NO same-title replacement, but the catalog recorded implementing code -- check the code is not now orphaned before removing the row	modules/skai-gaming/src/components/play/games/crash/TowerStackerPro.tsx (+ crash/tower/); page shell modules/skai-gaming/src/pages/play/TowersPage.tsx (72 lines, RoutedGamePage wrapper); rail points-game tower_start/tower_pick/tower_climb/tower_cashout
trade-2	13006-252239	REMOVED-WITH-WORK	Skai > Trade > side bar > Trench disclosure header (OPEN state, green glyph on #052d2d)	Frame gone from Figma with NO same-title replacement, but the catalog recorded implementing code -- check the code is not now orphaned before removing the row	src/components/home-redesign/HomeSidebarExpanded.tsx src/components/home-redesign/sidebarSurfaces.ts
trade-2	13006-134366	REMOVED-WITH-WORK		Frame gone from Figma with NO same-title replacement, but the catalog recorded implementing code -- check the code is not now orphaned before removing the row	src/components/trench-redesign/discover/DiscoverScreen.tsx src/components/trench-redesign/discover/MarketPulseBoard.tsx
trade-2	13006-134370	REMOVED-WITH-WORK		Frame gone from Figma with NO same-title replacement, but the catalog recorded implementing code -- check the code is not now orphaned before removing the row	src/components/trench-redesign/discover/DiscoverScreen.tsx
trade-2	13006-134371	REMOVED-WITH-WORK	Trench title row — three chain badges (Solana / Base / BNB), 32x32 on an 8px gap	Frame gone from Figma with NO same-title replacement, but the catalog recorded implementing code -- check the code is not now orphaned before removing the row	src/components/trench-redesign/discover/networkIcons.tsx
trade-2	13006-134372	REMOVED-WITH-WORK	Chain badge — Solana (32px): black disc, #17F9B4 ring, gradient tri-bars	Frame gone from Figma with NO same-title replacement, but the catalog recorded implementing code -- check the code is not now orphaned before removing the row	modules/skai-ui/src/figma-icons.tsx src/components/trench-redesign/discover/networkIcons.tsx
trade-2	13006-134373	REMOVED-WITH-WORK	Chain badge — Base (32px): ⚠ BROKEN EXPORT, a flat #0052FF disc with a rectangular alpha slot, not the Base brandmark	Frame gone from Figma with NO same-title replacement, but the catalog recorded implementing code -- check the code is not now orphaned before removing the row	modules/skai-ui/src/figma-icons.tsx
trade-2	13006-134374	REMOVED-WITH-WORK	Chain badge — BNB (32px): #3A3A3A disc + the modern BNB-Chain isometric cube in #F1B90A	Frame gone from Figma with NO same-title replacement, but the catalog recorded implementing code -- check the code is not now orphaned before removing the row	modules/skai-ui/src/figma-icons.tsx
trade-2	13006-134382	REMOVED-WITH-WORK		Frame gone from Figma with NO same-title replacement, but the catalog recorded implementing code -- check the code is not now orphaned before removing the row	src/components/trench-redesign/discover/MarketPulseBoard.tsx
trade-2	13006-134384	REMOVED-WITH-WORK		Frame gone from Figma with NO same-title replacement, but the catalog recorded implementing code -- check the code is not now orphaned before removing the row	src/components/trench-redesign/discover/DiscoverScreen.tsx
trade-2	13006-134387	REMOVED-WITH-WORK		Frame gone from Figma with NO same-title replacement, but the catalog recorded implementing code -- check the code is not now orphaned before removing the row	src/components/trench-redesign/discover/DiscoverScreen.tsx
trade-2	13006-134400	REMOVED-WITH-WORK		Frame gone from Figma with NO same-title replacement, but the catalog recorded implementing code -- check the code is not now orphaned before removing the row	src/components/trench-redesign/discover/MarketPulseBoard.tsx src/components/trench-redesign/discover/TrenchColumn.tsx
trade-2	13006-134402	REMOVED-WITH-WORK		Frame gone from Figma with NO same-title replacement, but the catalog recorded implementing code -- check the code is not now orphaned before removing the row	src/components/trench-redesign/discover/TrenchColumn.tsx
trade-2	13006-134411	REMOVED-WITH-WORK		Frame gone from Figma with NO same-title replacement, but the catalog recorded implementing code -- check the code is not now orphaned before removing the row	src/components/trench-redesign/discover/TrenchColumn.tsx
trade-2	13006-134417	REMOVED-WITH-WORK		Frame gone from Figma with NO same-title replacement, but the catalog recorded implementing code -- check the code is not now orphaned before removing the row	src/components/trench-redesign/discover/TrenchColumn.tsx
trade-2	13006-134424	REMOVED-WITH-WORK		Frame gone from Figma with NO same-title replacement, but the catalog recorded implementing code -- check the code is not now orphaned before removing the row	src/components/trench-redesign/discover/TokenCard.tsx
trade-2	13006-134427	REMOVED-WITH-WORK		Frame gone from Figma with NO same-title replacement, but the catalog recorded implementing code -- check the code is not now orphaned before removing the row	src/components/trench-redesign/discover/TokenCard.tsx
trade-2	13006-134428	REMOVED-WITH-WORK		Frame gone from Figma with NO same-title replacement, but the catalog recorded implementing code -- check the code is not now orphaned before removing the row	src/components/trench-redesign/discover/TokenCard.tsx
trade-2	13006-134436	REMOVED-WITH-WORK		Frame gone from Figma with NO same-title replacement, but the catalog recorded implementing code -- check the code is not now orphaned before removing the row	src/components/trench-redesign/discover/TokenCard.tsx
trade-2	13006-134451	REMOVED-WITH-WORK		Frame gone from Figma with NO same-title replacement, but the catalog recorded implementing code -- check the code is not now orphaned before removing the row	src/components/trench-redesign/discover/TokenCard.tsx
trade-2	13006-134456	REMOVED-WITH-WORK		Frame gone from Figma with NO same-title replacement, but the catalog recorded implementing code -- check the code is not now orphaned before removing the row	src/components/trench-redesign/discover/TokenCard.tsx
trade-2	13006-134459	REMOVED-WITH-WORK		Frame gone from Figma with NO same-title replacement, but the catalog recorded implementing code -- check the code is not now orphaned before removing the row	src/components/trench-redesign/discover/TokenCard.tsx
trade-2	13006-134461	REMOVED-WITH-WORK		Frame gone from Figma with NO same-title replacement, but the catalog recorded implementing code -- check the code is not now orphaned before removing the row	src/components/trench-redesign/discover/TokenCard.tsx
trade-2	13006-146207	REMOVED-WITH-WORK	Skai > Trade > top-bar dropdown (5 rows: Perps / Spot / Swaps / Trench / Launch; each glyph a 24px icons/graphical ring)	Frame gone from Figma with NO same-title replacement, but the catalog recorded implementing code -- check the code is not now orphaned before removing the row	src/components/home-redesign/HomeTopBar.tsx modules/skai-ui/src/components/branding/skai-icon.tsx modules/skai-ui/src/components/layout/header/header-navigation.tsx
trade-2	13006-147438	REMOVED-WITH-WORK		Frame gone from Figma with NO same-title replacement, but the catalog recorded implementing code -- check the code is not now orphaned before removing the row	src/components/home-redesign/HomeSidebarRail.tsx
trade-2	13006-158489	REMOVED-WITH-WORK		Frame gone from Figma with NO same-title replacement, but the catalog recorded implementing code -- check the code is not now orphaned before removing the row	src/components/trench-redesign/discover/AdjustTrenchSettings.tsx src/components/trench-redesign/discover/rightMenuChrome.tsx
trade-2	13006-158510	REMOVED-WITH-WORK		Frame gone from Figma with NO same-title replacement, but the catalog recorded implementing code -- check the code is not now orphaned before removing the row	src/components/trench-redesign/discover/AdjustTrenchSettings.tsx
trade-2	13006-158556	REMOVED-WITH-WORK		Frame gone from Figma with NO same-title replacement, but the catalog recorded implementing code -- check the code is not now orphaned before removing the row	src/components/trench-redesign/discover/AdjustTrenchSettings.tsx
trade-2	13006-158563	REMOVED-WITH-WORK		Frame gone from Figma with NO same-title replacement, but the catalog recorded implementing code -- check the code is not now orphaned before removing the row	src/components/trench-redesign/discover/AdjustTrenchSettings.tsx
trade-2	13006-158615	REMOVED-WITH-WORK		Frame gone from Figma with NO same-title replacement, but the catalog recorded implementing code -- check the code is not now orphaned before removing the row	src/components/trench-redesign/discover/AdjustTrenchSettings.tsx src/components/trench-redesign/discover/rightMenuChrome.tsx
trade-2	13006-165048	REMOVED-WITH-WORK		Frame gone from Figma with NO same-title replacement, but the catalog recorded implementing code -- check the code is not now orphaned before removing the row	src/components/trench-redesign/discover/rightMenuChrome.tsx
trade-2	13006-165084	REMOVED-WITH-WORK		Frame gone from Figma with NO same-title replacement, but the catalog recorded implementing code -- check the code is not now orphaned before removing the row	src/components/trench-redesign/discover/HotkeysMenu.tsx
trade-2	13006-165129	REMOVED-WITH-WORK		Frame gone from Figma with NO same-title replacement, but the catalog recorded implementing code -- check the code is not now orphaned before removing the row	src/components/trench-redesign/discover/HotkeysMenu.tsx
trade-2	13006-165136	REMOVED-WITH-WORK		Frame gone from Figma with NO same-title replacement, but the catalog recorded implementing code -- check the code is not now orphaned before removing the row	src/components/trench-redesign/discover/hotkeyPrefs.ts
trade-2	13006-165139	REMOVED-WITH-WORK		Frame gone from Figma with NO same-title replacement, but the catalog recorded implementing code -- check the code is not now orphaned before removing the row	src/components/trench-redesign/discover/HotkeysMenu.tsx
trade-2	13006-165149	REMOVED-WITH-WORK		Frame gone from Figma with NO same-title replacement, but the catalog recorded implementing code -- check the code is not now orphaned before removing the row	src/components/trench-redesign/discover/HotkeysMenu.tsx src/components/trench-redesign/discover/rightMenuChrome.tsx
trade-2	13006-188668	REMOVED-WITH-WORK		Frame gone from Figma with NO same-title replacement, but the catalog recorded implementing code -- check the code is not now orphaned before removing the row	src/components/trench-redesign/discover/AlertsModal.tsx src/components/trench-redesign/discover/DiscoverScreen.tsx src/components/trench-redesign/discover/TrenchColumn.tsx src/components/trench-redesign/discover/pulsePrefs.ts src/components/trench-redesign/discover/switchTheme.ts
trade-2	13006-188669	REMOVED-WITH-WORK		Frame gone from Figma with NO same-title replacement, but the catalog recorded implementing code -- check the code is not now orphaned before removing the row	src/components/trench-redesign/discover/AlertsModal.tsx
trade-2	13006-188671	REMOVED-WITH-WORK		Frame gone from Figma with NO same-title replacement, but the catalog recorded implementing code -- check the code is not now orphaned before removing the row	src/components/trench-redesign/discover/AlertsModal.tsx
trade-2	13006-188676	REMOVED-WITH-WORK		Frame gone from Figma with NO same-title replacement, but the catalog recorded implementing code -- check the code is not now orphaned before removing the row	src/components/trench-redesign/discover/AlertsModal.tsx
trade-2	13006-188681	REMOVED-WITH-WORK		Frame gone from Figma with NO same-title replacement, but the catalog recorded implementing code -- check the code is not now orphaned before removing the row	src/components/trench-redesign/discover/AlertsModal.tsx
trade-2	13006-191509	REMOVED-WITH-WORK		Frame gone from Figma with NO same-title replacement, but the catalog recorded implementing code -- check the code is not now orphaned before removing the row	src/components/trench-redesign/discover/AlertsModal.tsx src/components/trench-redesign/discover/TrenchColumn.tsx src/components/trench-redesign/discover/pulsePrefs.ts
trade-2	13006-191527	REMOVED-WITH-WORK		Frame gone from Figma with NO same-title replacement, but the catalog recorded implementing code -- check the code is not now orphaned before removing the row	src/components/trench-redesign/discover/switchTheme.ts
trade-2	13006-191528	REMOVED-WITH-WORK		Frame gone from Figma with NO same-title replacement, but the catalog recorded implementing code -- check the code is not now orphaned before removing the row	src/components/trench-redesign/discover/AlertsModal.tsx
trade-2	13006-191552	REMOVED-WITH-WORK		Frame gone from Figma with NO same-title replacement, but the catalog recorded implementing code -- check the code is not now orphaned before removing the row	src/components/trench-redesign/discover/AlertsModal.tsx
trade-2	13006-191558	REMOVED-WITH-WORK		Frame gone from Figma with NO same-title replacement, but the catalog recorded implementing code -- check the code is not now orphaned before removing the row	src/components/trench-redesign/discover/AlertsModal.tsx src/components/trench-redesign/discover/TrenchColumn.tsx src/components/trench-redesign/discover/pulsePrefs.ts
trade-2	13006-191570	REMOVED-WITH-WORK		Frame gone from Figma with NO same-title replacement, but the catalog recorded implementing code -- check the code is not now orphaned before removing the row	src/components/trench-redesign/discover/AlertsModal.tsx
trade-2	13006-194608	REMOVED-WITH-WORK		Frame gone from Figma with NO same-title replacement, but the catalog recorded implementing code -- check the code is not now orphaned before removing the row	src/components/trench-redesign/discover/BlacklistModal.tsx
trade-2	13006-194611	REMOVED-WITH-WORK		Frame gone from Figma with NO same-title replacement, but the catalog recorded implementing code -- check the code is not now orphaned before removing the row	src/components/trench-redesign/discover/BlacklistModal.tsx
trade-2	13006-194615	REMOVED-WITH-WORK		Frame gone from Figma with NO same-title replacement, but the catalog recorded implementing code -- check the code is not now orphaned before removing the row	src/components/trench-redesign/discover/BlacklistModal.tsx
trade-2	13006-194616	REMOVED-WITH-WORK		Frame gone from Figma with NO same-title replacement, but the catalog recorded implementing code -- check the code is not now orphaned before removing the row	src/components/trench-redesign/discover/BlacklistModal.tsx
trade-2	13006-194629	REMOVED-WITH-WORK		Frame gone from Figma with NO same-title replacement, but the catalog recorded implementing code -- check the code is not now orphaned before removing the row	src/components/trench-redesign/discover/BlacklistModal.tsx
trade-2	13006-194631	REMOVED-WITH-WORK		Frame gone from Figma with NO same-title replacement, but the catalog recorded implementing code -- check the code is not now orphaned before removing the row	src/components/trench-redesign/discover/BlacklistModal.tsx
trade-2	13006-194635	REMOVED-WITH-WORK		Frame gone from Figma with NO same-title replacement, but the catalog recorded implementing code -- check the code is not now orphaned before removing the row	src/components/trench-redesign/discover/BlacklistModal.tsx
trade-2	13006-194650	REMOVED-WITH-WORK		Frame gone from Figma with NO same-title replacement, but the catalog recorded implementing code -- check the code is not now orphaned before removing the row	src/components/trench-redesign/discover/BlacklistModal.tsx
trade-2	13006-194971	REMOVED-WITH-WORK		Frame gone from Figma with NO same-title replacement, but the catalog recorded implementing code -- check the code is not now orphaned before removing the row	src/components/trench-redesign/discover/AdjustTrenchSettings.tsx src/components/trench-redesign/discover/TokenCard.tsx src/components/trench-redesign/discover/metricBands.ts src/components/trench-redesign/discover/trenchDisplayPrefs.ts
trade-2	13006-194996	REMOVED-WITH-WORK		Frame gone from Figma with NO same-title replacement, but the catalog recorded implementing code -- check the code is not now orphaned before removing the row	src/components/trench-redesign/discover/AdjustTrenchSettings.tsx
trade-2	13006-194999	REMOVED-WITH-WORK		Frame gone from Figma with NO same-title replacement, but the catalog recorded implementing code -- check the code is not now orphaned before removing the row	src/components/trench-redesign/discover/trenchDisplayPrefs.ts
trade-2	13006-195005	REMOVED-WITH-WORK		Frame gone from Figma with NO same-title replacement, but the catalog recorded implementing code -- check the code is not now orphaned before removing the row	src/components/trench-redesign/discover/trenchDisplayPrefs.ts
trade-2	13006-195011	REMOVED-WITH-WORK		Frame gone from Figma with NO same-title replacement, but the catalog recorded implementing code -- check the code is not now orphaned before removing the row	src/components/trench-redesign/discover/trenchDisplayPrefs.ts
trade-2	13006-195126	REMOVED-WITH-WORK		Frame gone from Figma with NO same-title replacement, but the catalog recorded implementing code -- check the code is not now orphaned before removing the row	src/components/trench-redesign/discover/AdjustTrenchSettings.tsx src/components/trench-redesign/discover/trenchDisplayPrefs.ts
trade-2	13006-195245	REMOVED-WITH-WORK		Frame gone from Figma with NO same-title replacement, but the catalog recorded implementing code -- check the code is not now orphaned before removing the row	src/components/trench-redesign/discover/AdjustTrenchSettings.tsx src/components/trench-redesign/discover/trenchDisplayPrefs.ts
trade-2	13006-195269	REMOVED-WITH-WORK		Frame gone from Figma with NO same-title replacement, but the catalog recorded implementing code -- check the code is not now orphaned before removing the row	src/components/trench-redesign/discover/AdjustTrenchSettings.tsx src/components/trench-redesign/discover/MarketPulseBoard.tsx
trade-2	13006-195278	REMOVED-WITH-WORK		Frame gone from Figma with NO same-title replacement, but the catalog recorded implementing code -- check the code is not now orphaned before removing the row	src/components/trench-redesign/discover/AdjustTrenchSettings.tsx src/components/trench-redesign/discover/DiscoverScreen.tsx
trade-2	13006-201800	REMOVED-WITH-WORK		Frame gone from Figma with NO same-title replacement, but the catalog recorded implementing code -- check the code is not now orphaned before removing the row	src/components/trench-redesign/trade/OneClickTradeModal.tsx
trade-2	13006-201813	REMOVED-WITH-WORK		Frame gone from Figma with NO same-title replacement, but the catalog recorded implementing code -- check the code is not now orphaned before removing the row	src/components/trench-redesign/trade/OneClickTradeModal.tsx
trade-2	13006-201814	REMOVED-WITH-WORK		Frame gone from Figma with NO same-title replacement, but the catalog recorded implementing code -- check the code is not now orphaned before removing the row	src/components/trench-redesign/trade/OneClickTradeModal.tsx
trade-2	13006-201815	REMOVED-WITH-WORK		Frame gone from Figma with NO same-title replacement, but the catalog recorded implementing code -- check the code is not now orphaned before removing the row	src/components/trench-redesign/trade/OneClickTradeModal.tsx
trade-2	13006-201816	REMOVED-WITH-WORK		Frame gone from Figma with NO same-title replacement, but the catalog recorded implementing code -- check the code is not now orphaned before removing the row	src/components/trench-redesign/trade/OneClickTradeModal.tsx
trade-2	13006-204639	REMOVED-WITH-WORK		Frame gone from Figma with NO same-title replacement, but the catalog recorded implementing code -- check the code is not now orphaned before removing the row	src/components/trench-redesign/trade/OneClickTradeModal.tsx
trade-2	13006-204656	REMOVED-WITH-WORK		Frame gone from Figma with NO same-title replacement, but the catalog recorded implementing code -- check the code is not now orphaned before removing the row	src/components/trench-redesign/trade/OneClickTradeModal.tsx
trade-2	13006-207496	REMOVED-WITH-WORK		Frame gone from Figma with NO same-title replacement, but the catalog recorded implementing code -- check the code is not now orphaned before removing the row	src/components/trench-redesign/trade/OneClickTradeModal.tsx src/components/trench-redesign/trade/instantTradePrefs.ts
trade-2	13006-210578	REMOVED-WITH-WORK	Token detail > Frame 443 — header row + chart (x=8 y=26 w=1047 h=608)	Frame gone from Figma with NO same-title replacement, but the catalog recorded implementing code -- check the code is not now orphaned before removing the row	src/components/trench-redesign/trade/PanelTabs.tsx
trade-2	13006-210579	REMOVED-WITH-WORK		Frame gone from Figma with NO same-title replacement, but the catalog recorded implementing code -- check the code is not now orphaned before removing the row	src/components/trench-redesign/trade/TradeHeader.tsx src/components/trench-redesign/trade/TradeTerminal.tsx
trade-2	13006-212012	REMOVED-WITH-WORK	Token detail > Frame 444 — trading-details section (x=8 y=640 w=1047 h=277), stacked UNDER Frame 443	Frame gone from Figma with NO same-title replacement, but the catalog recorded implementing code -- check the code is not now orphaned before removing the row	src/components/trench-redesign/trade/PanelTabs.tsx
trade-2	13006-212076	REMOVED-WITH-WORK	Token detail > Multi-panel - combined — right rail (x=1061 y=26 w=313 h=1740)	Frame gone from Figma with NO same-title replacement, but the catalog recorded implementing code -- check the code is not now orphaned before removing the row	src/components/trench-redesign/trade/PanelTabs.tsx src/components/trench-redesign/trade/TradeTerminal.tsx
trade-2	13006-219554	REMOVED-WITH-WORK		Frame gone from Figma with NO same-title replacement, but the catalog recorded implementing code -- check the code is not now orphaned before removing the row	src/components/trench-redesign/trade/InstantTradeSettingsModal.tsx
trade-2	13006-252244	REMOVED-WITH-WORK	Skai > Trade > side bar > Trench disclosure children ("internal"): Alpha / PnL / Market Pulse	Frame gone from Figma with NO same-title replacement, but the catalog recorded implementing code -- check the code is not now orphaned before removing the row	src/components/home-redesign/HomeSidebarExpanded.tsx src/components/home-redesign/sidebarSurfaces.ts
trade-2	13006-252249	REMOVED-WITH-WORK		Frame gone from Figma with NO same-title replacement, but the catalog recorded implementing code -- check the code is not now orphaned before removing the row	src/components/home-redesign/sidebarSurfaces.ts
trade-2	13006-252257	REMOVED-WITH-WORK		Frame gone from Figma with NO same-title replacement, but the catalog recorded implementing code -- check the code is not now orphaned before removing the row	src/components/home-redesign/sidebarSurfaces.ts src/components/home-redesign/sidebarSurfaces.ts (TRENCH_ROWS) + HomeSidebarExpanded.tsx
trade-2	13006-252263	REMOVED-WITH-WORK		Frame gone from Figma with NO same-title replacement, but the catalog recorded implementing code -- check the code is not now orphaned before removing the row	src/components/home-redesign/sidebarSurfaces.ts
trade-2	13006-147429	REMOVED-WITH-WORK		Frame gone from Figma with NO same-title replacement, but the catalog recorded implementing code -- check the code is not now orphaned before removing the row	
trade-2	13006-165150	REMOVED-WITH-WORK		Frame gone from Figma with NO same-title replacement, but the catalog recorded implementing code -- check the code is not now orphaned before removing the row	
trade-2	13006-191568	REMOVED-WITH-WORK		Frame gone from Figma with NO same-title replacement, but the catalog recorded implementing code -- check the code is not now orphaned before removing the row	
cover-images	9393-514 -> 10347-2413	RETARGET	Cards ALT - Chicken	Same title, new node-id: the frame was REBUILT, not deleted. Repoint the catalog row and KEEP its implFiles/status/verifiedAt -- the code still implements it.	modules/skai-gaming/src/assets/games/figma/
cover-images	9393-519 -> 10428-2601	RETARGET	Cards ALT - Chicken	Same title, new node-id: the frame was REBUILT, not deleted. Repoint the catalog row and KEEP its implFiles/status/verifiedAt -- the code still implements it.	modules/skai-gaming/src/assets/games/figma/
cover-images	9479-19858 -> 10428-2607	RETARGET	Cards ALT - Chicken	Same title, new node-id: the frame was REBUILT, not deleted. Repoint the catalog row and KEEP its implFiles/status/verifiedAt -- the code still implements it.	modules/skai-gaming/src/assets/games/figma/
cover-images	9479-19863 -> 10358-8842	RETARGET	Cards ALT - Chicken	Same title, new node-id: the frame was REBUILT, not deleted. Repoint the catalog row and KEEP its implFiles/status/verifiedAt -- the code still implements it.	modules/skai-gaming/src/assets/games/figma/
governance	5539-100875 -> 11983-221622	RETARGET	Skai > Explorer (1440 x 900px)	Same title, new node-id: the frame was REBUILT, not deleted. Repoint the catalog row and KEEP its implFiles/status/verifiedAt -- the code still implements it.	src/pages/explorer/ExplorerDashboard.tsx
hilo	9058-1833 -> 10248-9763	RETARGET	Desktop	Same title, new node-id: the frame was REBUILT, not deleted. Repoint the catalog row and KEEP its implFiles/status/verifiedAt -- the code still implements it.	modules/skai-gaming/src/components/play/games/cards/HiLoGame.tsx modules/skai-gaming/src/pages/play/HiLoPage.tsx
slide	10030-42676 -> 10250-15144	RETARGET	LB With Header	Same title, new node-id: the frame was REBUILT, not deleted. Repoint the catalog row and KEEP its implFiles/status/verifiedAt -- the code still implements it.	NONE - there is no Slide anywhere in the codebase, at any layer modules/skai-gaming/src/components/play/games/slide/SlideGame.tsx (+ SlideReel.tsx, SlideBetPanel.tsx, slideContract.ts, slideReelGeometry.ts, slidePanelLayout.ts; rail at supabase/functions/_shared/slide.ts)
baccarat	10250-14407	ADDED	Desktop	New frame in Figma with no catalog row -- needs implementation or an explicit out-of-scope note	
baccarat	10250-14248	ADDED	Screenshot 2026-08-25 at 12.15.02 AM 1	New frame in Figma with no catalog row -- needs implementation or an explicit out-of-scope note	
coinflip	10258-4592	ADDED	Frame 1000004022	New frame in Figma with no catalog row -- needs implementation or an explicit out-of-scope note	
coinflip	10215-5029	ADDED	Screenshot 2026-08-24 at 12.35.14 PM 1	New frame in Figma with no catalog row -- needs implementation or an explicit out-of-scope note	
coinflip	10215-5030	ADDED	Screenshot 2026-08-24 at 12.35.36 PM 1	New frame in Figma with no catalog row -- needs implementation or an explicit out-of-scope note	
coinflip	10215-5031	ADDED	Screenshot 2026-08-24 at 12.35.48 PM 1	New frame in Figma with no catalog row -- needs implementation or an explicit out-of-scope note	
coinflip	10215-5032	ADDED	Screenshot 2026-08-24 at 12.36.13 PM 1	New frame in Figma with no catalog row -- needs implementation or an explicit out-of-scope note	
coinflip	10215-5033	ADDED	Screenshot 2026-08-24 at 12.36.24 PM 1	New frame in Figma with no catalog row -- needs implementation or an explicit out-of-scope note	
coinflip	10215-5078	ADDED	Desktop	New frame in Figma with no catalog row -- needs implementation or an explicit out-of-scope note	
coinflip	10215-6194	ADDED	Desktop	New frame in Figma with no catalog row -- needs implementation or an explicit out-of-scope note	
coinflip	10221-6245	ADDED	Frame 1000004020	New frame in Figma with no catalog row -- needs implementation or an explicit out-of-scope note	
cover-images	10358-8848	ADDED	Cards ALT - Chicken	New frame in Figma with no catalog row -- needs implementation or an explicit out-of-scope note	
cover-images	10296-2896	ADDED	Cards ALT - Chicken	New frame in Figma with no catalog row -- needs implementation or an explicit out-of-scope note	
cover-images	10428-2156	ADDED	Cards ALT - Chicken	New frame in Figma with no catalog row -- needs implementation or an explicit out-of-scope note	
cover-images	10296-3772	ADDED	Cards ALT - Chicken	New frame in Figma with no catalog row -- needs implementation or an explicit out-of-scope note	
cover-images	10296-3777	ADDED	Cards ALT - Chicken	New frame in Figma with no catalog row -- needs implementation or an explicit out-of-scope note	
cover-images	10296-3783	ADDED	Cards ALT - Chicken	New frame in Figma with no catalog row -- needs implementation or an explicit out-of-scope note	
cover-images	10296-2891	ADDED	Cards ALT - Chicken	New frame in Figma with no catalog row -- needs implementation or an explicit out-of-scope note	
cover-images	10296-3788	ADDED	Cards ALT - Chicken	New frame in Figma with no catalog row -- needs implementation or an explicit out-of-scope note	
cover-images	10296-4240	ADDED	Cards ALT - Chicken	New frame in Figma with no catalog row -- needs implementation or an explicit out-of-scope note	
cover-images	10296-4245	ADDED	Cards ALT - Chicken	New frame in Figma with no catalog row -- needs implementation or an explicit out-of-scope note	
cover-images	10296-4684	ADDED	Cards ALT - Chicken	New frame in Figma with no catalog row -- needs implementation or an explicit out-of-scope note	
cover-images	10296-4689	ADDED	Cards ALT - Chicken	New frame in Figma with no catalog row -- needs implementation or an explicit out-of-scope note	
